tested_ids,most_possible_action,most_possible_action_cf,second_possible_action,second_possible_action_cf,third_possible_action,third_possible_action_cf,ground_truth_action
182,agent_1-actionpointto-box_5,0.6,agent_1-actionnodhead-agent_2,0.3,agent_1-actionwait,0.1,agent_1-actionspeak-thank you!
183,agent_1-actionpointto-key_3,0.7,agent_1-actionspeak-thank,0.2,agent_1-actionwait,0.1,agent_1-actionspeak-thank you!
184,agent_1-actionpointto-agent_1,0.7,agent_1-actionwavehand-agent_2,0.2,agent_1-actionspeak-thank you,0.1,agent_1-actionspeak-thank you!
185,agent_1-actionwavehand-agent_2,0.6,agent_1-actionspeak-hello,0.3,agent_1-actionwait,0.1,agent_1-actionspeak-thank you!
186,agent_1-actionwavehand-agent_2,0.5,agent_1-actionspeak-thank,0.3,agent_1-actionwait,0.2,agent_1-actionspeak-thank you!
187,agent_1-actionspeak-thank,0.5,agent_1-actionwait,0.3,agent_1-actionspeak-hello,0.2,agent_1-actionspeak-thank you!
188,Agent_1-ActionWait,0.5,Agent_1-ActionSpeak-thank you!,0.3,Agent_1-ActionMoveToAttention-Agent_2,0.2,agent_1-actionpointto-box_4
189,agent_1-actionpointto-books_3,0.6,agent_1-actionwavehand-agent_2,0.3,agent_1-actionspeak-hello,0.1,agent_1-actionopen-shelf_4
190,agent_1-actionpointto-books_3,0.7,agent_1-actionspeak-hello,0.6,agent_1-actionwavehand-agent_2,0.5,agent_1-actiongrab-books_3
191,agent_2-actionwait,0.6,agent_2-actionspeak-hello,0.3,agent_2-actionrotateto-key_3,0.1,"agent_2-actionrotateto-[0.0, 364.0]"
192,agent_2-actionwavehand-agent_1,0.5,agent_2-actionfollowpointing-agent_1,0.3,agent_2-actionspeak-hello,0.2,agent_2-actionmovetoattention-agent_1
193,agent_2-actionpointto-box_4,0.7,agent_2-actionfollowpointing-agent_1,0.2,agent_2-actionwait,0.1,agent_2-actionfollowpointing-agent_1
194,agent_2-actiongrab-key_3,0.95,agent_2-actiongiveto-key_3-agent_1,0.03,agent_2-actionmovetoattention-agent_1,0.02,agent_2-actionmoveto-key_3
195,Agent_2-ActionGiveTo-Key_3-Agent_1,0.8,Agent_2-ActionGrab-Key_3,0.6,Agent_2-ActionSpeak-Thank_You,0.3,agent_2-actionopen-box_4
196,agent_2-actiongrab-key_3,0.8,agent_2-actiongiveto-key_3-agent_1,0.5,agent_2-actionmoveto-agent_1,0.3,agent_2-actiongrab-key_3
197,agent_2-actiongrab-key_6,0.9,agent_2-actionmoveto-key_6,0.05,agent_2-actionopen-shelf_4,0.05,agent_2-actionopen-shelf_4
198,agent_2-actionmoveto-chess_3,0.6,agent_2-actionfollowpointing-agent_1,0.3,agent_2-actionwait,0.1,agent_2-actionfollowpointing-agent_1
199,actionplay-chess_3,0.95,actionmoveto-chess_3,0.03,actionnodhead-agent_1,0.02,agent_2-actionmoveto-chess_3
200,agent_1-actionmoveto-cup_4,0.5,agent_1-actionpointto-chess_5,0.3,agent_1-actionwait,0.2,agent_1-actionpointto-box_7
201,agent_1-actionmoveto-cup_4,0.7,agent_1-actionpointto-chess_5,0.2,agent_1-actionwait,0.1,agent_1-actionpointto-cup_4
202,agent_1-actionwavehand-agent_2,0.3,agent_1-actionwait,0.2,agent_2-observe-me,1.0,"agent_1-actionmoveto-[154.0, -238.0]"
203,Agent_1-ActionPointTo-Cup_4,0.7,"Agent_1-ActionMoveTo-[500, 150]",0.2,Agent_1-ActionShakeHead-Agent_2,0.1,"agent_1-actionmoveto-[-28.0, 56.0]"
204,"agent_1-actionmoveto-[500, 150]",0.75,agent_1-actionpointto-box_7,0.6,agent_1-actionrotateto-cup_4,0.45,agent_1-actionpointto-banana_6
205,"agent_1-actionmoveto-[500,150]",0.5,agent_1-actionpointto-box_7,0.3,agent_1-actionwait,0.2,agent_1-actionrotateto-agent_2
206,agent_1-actionrotateto-agent_2,0.5,agent_1-actionpointto-agent_2,0.3,agent_1-actionwait,0.2,"agent_1-actionrotateto-[-56.0, -196.0]"
207,agent_1-actionmoveto-shelf_4,0.6,agent_1-actionopen-shelf_4,0.3,agent_1-actionfollowpointing-agent_2,0.1,agent_1-actionrotateto-key_3
208,agent_1-actionopen-box_5,0.9,agent_1-actiongrab-key_3,0.3,agent_1-actionwait,0.1,agent_1-actionmoveto-key_3
209,agent_1-actiongrab-box_5,0.65,agent_1-actiongiveto-box_5-agent_2,0.2,agent_1-actionpointto-box_5,0.15,agent_1-actiongrab-box_5
210,agent_1-actionputdown-box_5,0.8,agent_1-actiongiveto-box_5-agent_2,0.6,agent_1-actionmoveto-agent_2,0.4,agent_1-actionmoveto-agent_2
211,agent_2-actionrotateto-agent_1,0.5,agent_2-actionmoveto-agent_1,0.3,agent_2-actionwait,0.2,agent_2-actionwait
212,agent_2-actionnodhead-agent_1,0.5,agent_2-actionwait,0.3,agent_2-actionrotateto-agent_1,0.2,agent_2-actionwait
213,agent_2-actionrotateto-agent_1,0.5,agent_2-actionwait,0.3,agent_2-actionnodhead-agent_1,0.2,agent_2-actionrotateto-agent_1
214,agent_2-actionrotateto-agent_1,0.7,agent_2-actionwavehand-agent_1,0.2,agent_2-actionwait,0.1,agent_2-actionnodhead
215,agent_2-actionwait,0.7,agent_2-actionnodhead-agent_1,0.2,agent_2-actionspeak-hello,0.1,agent_2-actionwait
216,agent_2-actionspeak-hello,0.7,agent_2-actionnodhead-agent_1,0.6,agent_2-actionwavehand-agent_1,0.5,agent_2-actionwavehand
217,agent_2-actionspeak-hello,0.5,agent_2-actionnodhead-agent_1,0.3,agent_2-actionwait,0.2,"agent_2-actionmoveto-[-14.0, -392.0]"
218,agent_1-actionmoveto-cup_4,0.8,agent_1-actionrotateto-cup_4,0.15,agent_1-actionwait,0.05,agent_1-actionmoveto-cup_4
219,agent_1-actiongrab-cup_4,0.95,agent_1-actionmoveto-table_3,0.03,agent_1-actionwait,0.02,agent_1-actiongrab-cup_4
220,agent_1-actionputonto-cup_4-table_3,0.95,agent_1-actionmoveto-table_3,0.03,agent_1-actionwait,0.02,agent_1-actionmoveto-table_3
221,agent_1-actionputonto-cup_4-table_3,0.95,agent_1-actionmoveto-table_3,0.03,agent_1-actionwait,0.02,agent_1-actionputonto-cup_4
222,agent_1-actionopen-box_4,0.95,agent_1-actiongrab-key_3,0.03,agent_1-actionwait,0.02,agent_1-actionmoveto-box_4
223,agent_1-actiongrab-key_3,0.7,agent_1-actionspeak-thank_you,0.2,agent_1-actionwait,0.1,agent_1-actionopen-box_4
224,agent_1-actiongrab-key_3,0.9,agent_1-actionmoveto-key_3,0.05,agent_1-actionspeak-thank_you,0.05,agent_1-actiongrab-key_3
225,agent_1-actionopen-box_4,0.65,agent_1-actiongrab-key_3,0.25,agent_1-actionspeak-hello,0.1,"agent_1-actionrotateto-[336.0, -238.0]"
226,agent_1-actiongrab-key_3,0.75,agent_1-actionclose-box_4,0.15,agent_1-actionmovetoattention-agent_2,0.1,agent_1-actionrotateto-agent_2
227,Agent_1-Putinto-Key_3-Box_4,0.5,Agent_1-Grab-Key_3,0.3,Agent_1-Open-Box_4,0.2,agent_1-actionputinto-key_3
228,agent_1-actiongrab-key_3,0.75,agent_1-actionpointto-key_3,0.6,agent_1-actionspeak-hello,0.3,agent_1-actionspeak-thank you!
229,agent_1-actiongrab-key_3,0.8,agent_1-actionspeak-thank,0.5,agent_1-actionpointto-key_3,0.3,agent_1-actionspeak-hello!
230,agent_1-actiongrab-key_3,0.95,agent_1-actionopen-box_4,0.03,agent_1-actionmoveto-box_4,0.02,agent_1-actiongrab-key_3
231,agent_1-actiongrab-books_3,0.95,agent_1-actionwait,0.03,agent_1-actionspeak-thank_you,0.02,agent_1-actionopen-shelf_5
232,agent_1-actiongrab-books_3,0.95,agent_1-actionmoveto-books_3,0.03,agent_1-actionwait,0.02,agent_1-actiongrab-books_3
233,agent_1-actiongrab-books_3,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionwait,0.1,agent_1-actionwait
234,agent_1-actiongrab-books_3,0.95,agent_1-actionspeak-thank_you,0.03,agent_1-actionwait,0.02,agent_1-actionwait
235,agent_1-actiongrab-books_3,0.95,agent_1-actionmoveto-books_3,0.03,agent_1-actionwait,0.02,agent_1-actionwait
236,agent_1-actiongrab-books_3,0.8,agent_1-actionwait,0.15,agent_1-actionspeak-thank,0.05,"agent_1-actionrotateto-[238.0, -70.00000000000011]"
237,agent_1-actionmoveto-box_4,0.7,agent_1-actionopen-box_4,0.2,agent_1-actionwait,0.1,agent_1-actionmoveto-box_4
238,agent_1-actiongrab-dumbbell_3,0.95,agent_1-actionputonto-dumbbell_3-box_4,0.03,agent_1-actionspeak-thank_you,0.02,agent_1-actionopen-box_4
239,agent_1-actiongrab-dumbbell_3,0.8,agent_1-actionfollowpointing-agent_2,0.15,agent_1-actionmoveto-dumbbell_3,0.05,agent_1-actiongrab-dumbbell_3
240,agent_1-actiongrab-dumbbell_5,0.75,agent_1-actiongiveto-dumbbell_5-agent_2,0.2,agent_1-actionfollowpointing-agent_2,0.05,agent_1-actionmoveto-dumbbell_5
241,agent_1-actiongiveto-dumbbell_5-agent_2,0.6,agent_1-actiongrab-dumbbell_5,0.3,agent_1-actionspeak-thank_you,0.1,agent_1-actiongrab-dumbbell_5
242,agent_1-actionmoveto-shelf_4,0.8,agent_1-actionopen-shelf_4,0.6,agent_1-actionwait,0.3,agent_1-actionmoveto-shelf_4
243,agent_1-actiongrab-timer_3,0.95,agent_1-actionwait,0.03,agent_1-actionopen-shelf_4,0.02,agent_1-actionopen-shelf_4
244,actiongrab-timer_3,0.95,actionwait,0.03,actionmoveto-timer_3,0.02,agent_1-actiongrab-timer_3
245,agent_1-actiongiveto-timer_3-agent_2,0.9,agent_1-actionmoveto-agent_2,0.7,agent_1-actionspeak-thank,0.4,agent_1-actionmovetoattention-agent_2
246,agent_1-actiongiveto-timer_3-agent_2,0.8,agent_1-actionmoveto-agent_2,0.15,agent_1-actionspeak-thank_you,0.05,agent_1-actionmovetoattention-agent_2
247,Agent_1-ActionGiveTo-Timer_3-Agent_2,0.9,Agent_1-ActionGrab-Timer_3,0.7,Agent_1-ActionMoveToAttention-Agent_2,0.5,agent_1-actionmoveto-agent_2
248,agent_1-actiongiveto-timer_3-agent_2,0.8,agent_1-actionwavehand-agent_2,0.15,agent_1-actionspeak-hello,0.05,agent_1-actiongiveto-timer_3
249,agent_1-actionmoveto-chess_3,0.5,agent_1-actionplay-chess_3,0.3,agent_1-actionwavehand-agent_2,0.2,agent_1-actionnodhead
250,agent_1-actionplay-chess_3,0.7,agent_1-actiongrab-chess_3,0.2,agent_1-actionspeak-hello,0.1,agent_1-actionnodhead
251,agent_1-actionplay-chess_3,0.7,agent_1-actiongrab-chess_3,0.2,agent_1-actionnodhead-agent_2,0.1,agent_1-actionnodhead
252,agent_1-actionplay-chess_3,0.85,agent_1-actiongrab-chess_3,0.65,agent_1-actionnodhead-agent_2,0.3,agent_1-actionplay-chess_3
253,agent_2-actionshakehead-agent_1,0.5,agent_2-actionwavehand-agent_1,0.3,agent_2-actionrotateto-agent_1,0.2,agent_2-actionwait
254,agent_2-actionmoveto-banana_6,0.7,agent_2-actionwait,0.2,agent_2-actiongrab-banana_6,0.1,"agent_2-actionrotateto-[322.0, 560.0]"
255,agent_2-actionfollowpointing-agent_1,0.7,agent_2-actionmovetoattention-agent_1,0.2,agent_2-actionwavehand-agent_1,0.1,agent_2-actionfollowpointing-agent_1
256,actionwait,0.05,actionplay-chess_3,0.8,actionwait,0.05,agent_2-actionmoveto-chess_3
257,agent_2-actionplay-chess_3,0.8,agent_2-actiongrab-chess_3,0.6,agent_2-actionmoveto-chess_3,0.4,agent_2-actiongrab-chess_3
258,agent_2-actiongiveto-chess_3-agent_1,0.95,agent_2-actionmoveto-agent_1,0.03,agent_2-actionspeak-thank_you,0.02,agent_2-actionmoveto-agent_1
259,agent_2-actionplay-chess_3,0.9,agent_2-actiongiveto-chess_3-agent_1,0.7,agent_2-actionnodhead-agent_1,0.5,agent_2-actionplay-chess_3
260,agent_2-actiongrab-key_3,0.95,agent_2-actionwait,0.03,agent_2-actionspeak-thank_you,0.02,agent_2-actionopen-box_4
261,agent_2-actiongrab-key_3,0.7,agent_2-actionopen-box_4,0.25,agent_2-actionwait,0.05,agent_2-actiongrab-key_3
262,agent_2-actionopen-box_4,0.7,agent_2-actiongrab-key_3,0.2,agent_2-actionwait,0.1,agent_2-actionclose-box_4
263,agent_2-actionopen-box_4,0.8,agent_2-actiongrab-key_3,0.15,agent_2-actionwait,0.05,agent_2-actionputdown-key_3
264,agent_1-actionopen-shelf_4,0.9,agent_1-actionputinto-timer_3-shelf_4,0.7,agent_1-actionwait,0.1,agent_1-actionmoveto-shelf_4
265,agent_1-actionopen-shelf_4,0.7,agent_1-actionwait,0.2,agent_1-actionmoveto-timer_3,0.1,"agent_1-actionrotateto-[-378.0, -560.0]"
266,Agent_1-ActionMoveTo-Box_5,0.7,Agent_1-ActionGrab-Timer_3,0.2,Agent_1-ActionPutInto-Timer_3-Shelf_4,0.1,"agent_1-actionrotateto-[-223.99999999999994, 336.0]"
267,agent_1-actionopen-box_5,0.7,agent_1-actionmoveto-shelf_4,0.2,agent_1-actionwait,0.1,agent_1-actionopen-shelf_4
268,agent_1-actiongrab-timer_3,0.9,agent_1-actionmoveto-shelf_4,0.7,agent_1-actionputinto-timer_3-shelf_4,0.3,"agent_1-actionrotateto-[210.0, -154.0]"
269,agent_1-actionputinto-timer_3-shelf_4,0.95,agent_1-actiongrab-timer_3,0.03,agent_1-actionspeak-thank_you,0.02,agent_1-actionmoveto-box_5
270,agent_1-actionputinto-timer_3-shelf_4,0.95,agent_1-actiongrab-timer_3,0.75,agent_1-actionmoveto-shelf_4,0.2,agent_1-actionopen-box_5
271,agent_1-actionputinto-timer_3-shelf_4,0.8,agent_1-actiongrab-timer_3,0.15,agent_1-actionrotateto-shelf_4,0.05,agent_1-actiongrab-timer_3
272,agent_1-actionputinto-timer_3-shelf_4,0.95,agent_1-actionmoveto-shelf_4,0.03,agent_1-actionrotateto-shelf_4,0.02,agent_1-actionmoveto-shelf_4
273,agent_2-actionmoveto-chess_3,0.5,agent_2-actionfollowpointing-agent_1,0.3,agent_2-actionpointto-chess_3,0.2,agent_2-actionspeak-thank you!
274,agent_2-actionplay-chess_3,0.7,agent_2-actionspeak-hello,0.2,agent_2-actionmoveto-chess_3,0.1,agent_2-actionmoveto-chess_3
275,agent_2-actionplay-chess_3,0.6,agent_2-actionmoveto-box_5,0.3,agent_2-actionwait,0.1,agent_2-actionpointto-box_5
276,agent_2-actionplay-chess_4,0.7,agent_2-actiongrab-chess_4,0.2,agent_2-actionspeak-hello,0.1,agent_2-actionspeak-thank you!
277,agent_2-actiongrab-chess_4,0.5,agent_2-actionpointto-box_5,0.3,agent_2-actionspeak-hello,0.2,agent_2-actionmoveto-box_5
278,agent_2-actionplay-chess_4,0.7,agent_2-actionpointto-chess_4,0.2,agent_2-actionspeak-hello,0.1,agent_2-actionplay-chess_4
279,agent_2-actionplay-chess_4,0.8,agent_2-actiongrab-chess_4,0.6,agent_2-actionspeak-thank,0.3,agent_2-actiongrab-chess_4
280,agent_2-actiongrab-chess_4,0.5,agent_2-actionplay-chess_4,0.3,agent_2-actionspeak-thank,0.2,agent_2-actionshakehead
281,actionpointto-chess_4,0.7,actionplay-chess_4,0.2,actiongrab-chess_4,0.1,agent_2-actionrotateto-chess_3
282,agent_2-actiongrab-chess_4,0.5,agent_2-actionplay-chess_4,0.3,agent_2-actionpointto-chess_4,0.2,agent_2-actionspeak-thank you!
283,agent_2-actionwavehand-agent_1,0.6,agent_2-actionmoveto-agent_1,0.3,agent_2-actionspeak-hello,0.1,agent_2-actionspeak-hello!
284,agent_2-actionwavehand-agent_1,0.5,agent_2-actionpointto-box_5,0.3,agent_2-actionmoveto-agent_1,0.2,"agent_2-actionrotateto-[-196.0, -252.0000000000001]"
285,agent_2-actionmoveto-box_7,0.2,agent_2-actionspeak-hello,0.1,agent_1-find-chess_6,1.0,"agent_2-actionmoveto-[56.0, -238.0]"
286,agent_2-actionspeak-let,0.8,agent_2-actionmoveto-agent_1,0.6,agent_2-actionrotateto-agent_1,0.5,"agent_2-actionrotateto-[588.0, -97.99999999999989]"
287,agent_2-actionspeak-hello,0.5,"agent_2-actionmoveto-[-471, -54]",0.3,agent_2-actionwait,0.2,"agent_2-actionrotateto-[-490.0, -210.0]"
288,Agent_2-ActionGrab-Chess_6,0.95,"Agent_2-ActionMoveTo-[-471, -54]",0.65,Agent_2-ActionSpeak-hello,0.4,agent_2-actionmoveto-agent_1
289,actiongrab-chess_6,0.7,actionmoveto-agent_1,0.2,actiongrab,0.7,"agent_2-actionrotateto-[-448.0, -462.0]"
290,agent_2-actiongrab-chess_6,0.65,agent_2-actionplay-chess_6,0.25,agent_2-actionspeak,0.1,agent_2-actionmoveto-box_7
291,agent_2-actiongrab-chess_6,0.7,agent_2-actionmoveto-agent_1,0.2,agent_2-actionspeak-hello,0.1,agent_2-actionopen-box_7
292,agent_2-actiongrab-chess_6,0.85,agent_2-actionspeak,0.65,agent_2-actionmoveto-agent_1,0.45,agent_2-actionspeak-thank you!
293,actionwait,0.2,actionnodhead-agent_2,0.3,actionwait,0.2,agent_1-actionnodhead
294,agent_1-actionpointto-shelf_4,0.6,agent_1-actionmoveto-shelf_4,0.3,agent_1-actionwait,0.1,"agent_1-actionrotateto-[308.0, -182.0]"
295,agent_1-actionopen-shelf_4,0.85,agent_1-actionpointto-shelf_4,0.65,agent_1-actionspeak-thank,0.2,"agent_1-actionrotateto-[-434.0, 336.0]"
296,agent_1-actiongrab-key_6,0.6,agent_1-actionfollowpointing-agent_2,0.3,agent_1-actionmoveto-agent_2,0.1,agent_1-actionmoveto-shelf_4
297,agent_1-actiongrab-key_6,0.9,agent_1-actionfollowpointing-agent_2,0.65,agent_1-actionunlock-box_5,0.45,agent_1-actionopen-shelf_4
299,agent_1-actionfollowpointing-agent_2,0.5,agent_1-actionmoveto-box_5,0.3,agent_1-actionunlock-box_5,0.2,agent_1-actionmoveto-box_5
300,agent_1-actionunlock-box_5,0.7,agent_1-actiongrab-key_6,0.2,agent_1-actionmoveto-box_5,0.1,agent_1-actionrotateto-agent_2
301,agent_1-actionfollowpointing-agent_2,0.65,agent_1-actionunlock-box_5,0.25,agent_1-actionmoveto-box_5,0.1,agent_1-actionshakehead
302,agent_2-actionspeak-thank you,0.5,agent_2-actionwait,0.3,"agent_2-actionmoveto-[-500, -300]",0.2,"agent_2-actionmoveto-[-406.0, -238.0]"
303,agent_2-actionspeak-hello,0.6,agent_2-actionwait,0.3,"agent_2-actionmoveto-[-500,-300]",0.1,agent_2-actionwavehand
304,agent_2-actionnodhead-agent_1,0.2,agent_2-actionmoveto-agent_1,0.1,agent_1-greet-me,0.0,agent_2-actionspeak-hello!
305,agent_2-actionnodhead-agent_1,0.5,agent_2-actionspeak-thank,0.3,agent_2-actionwait,0.2,agent_2-actionspeak-hello!
306,"agent_2-actionmoveto-[-400.0, 200.0]",0.7,agent_2-actionspeak-hello!,0.2,agent_2-actionwait,0.1,"agent_2-actionmoveto-[97.99999999999989, -126.0]"
307,agent_2-actiongrab-key_4,0.9,"agent_2-actionmoveto-[-400, 200]",0.7,agent_2-actionspeak-thank you,0.1,agent_2-actionpointto-agent_1
308,agent_2-actiongrab-key_4,0.8,agent_2-actionmoveto-box_3,0.6,agent_2-actionpointto-key_4,0.5,"agent_2-actionrotateto-[-490.0, -336.0]"
309,Agent_2-ActionGrab-Key_4,0.8,"Agent_2-ActionMoveTo-[-400,200]",0.65,Agent_2-ActionPointTo-Box_3,0.5,"agent_2-actionmoveto-[-154.0, 28.0]"
310,agent_2-actiongrab-key_4,0.95,agent_2-actionmoveto-box_3,0.03,agent_2-actionspeak-hello,0.02,agent_2-actionmoveto-key_4
311,agent_1-actionpointto-box_4,0.7,agent_1-actionwait,0.2,agent_1-actionwavehand-agent_2,0.1,agent_1-actionrotateto-agent_2
312,agent_1-actionwait,0.6,agent_1-actionspeak-thank,0.3,agent_1-actionnodhead-agent_2,0.1,agent_1-actionrotateto-banana_3
313,agent_2-actionpointto-books_3,0.7,agent_2-actionnodhead-agent_1,0.2,agent_2-actionspeak-thank,0.1,agent_2-actionspeak-hello!
314,agent_2-actionpointto-agent_2,0.5,agent_2-actionspeak-thank,0.3,agent_2-actionwavehand-agent_1,0.2,agent_2-actionspeak-thank you!
315,agent_2-actiongrab-key_6,0.85,agent_2-actionmoveto-key_6,0.1,agent_2-actioninform-agent_1-key_6,0.05,agent_2-actionopen-shelf_7
316,agent_2-actiongrab-key_6,0.7,agent_2-actionmoveto-box_4,0.2,agent_2-actionpointto-key_6,0.1,agent_2-actiongrab-key_6
317,actionopen-box_4,0.95,actionmoveto-box_4,0.03,actionwait,0.02,agent_2-actionmoveto-box_4
318,agent_2-actiongrab-box_8,0.6,agent_2-actionclose-box_8,0.3,agent_2-actionwait,0.1,agent_2-actionunlock-box_4
319,agent_2-actionmoveto-box_4,0.7,agent_2-actiongrab-banana_3,0.2,agent_2-actionmoveto-box_8,0.1,agent_2-actionopen-box_4
320,agent_2-actionmoveto-box_8,0.7,agent_2-actionwait,0.2,agent_2-actiongrab-key_6,0.1,agent_2-actionmoveto-box_8
321,agent_1-actionmoveto-box_3,0.6,agent_1-actionunlock-box_3,0.3,agent_1-actionwait,0.1,agent_1-actionspeak-hello!
322,agent_1-actionmoveto-box_3,0.5,agent_1-actionpointto-box_3,0.3,agent_1-actionunlock-box_3,0.2,"agent_1-actionrotateto-[392.0, -126.0]"
323,"Agent_1-ActionMoveTo-[-400, 200]",0.5,"Agent_1-ActionRotateTo-[-400, 200]",0.3,Agent_1-ActionOpen-Box_3,0.2,agent_1-actionpointto-box_3
324,agent_1-actionwavehand-agent_2,0.5,agent_1-actionmoveto-box_3,0.3,agent_1-actionopen-box_3,0.2,agent_1-actionpointto-box_3
325,agent_1-actionmoveto-box_3,0.7,agent_1-actionunlock-box_3,0.6,agent_1-actionopen-box_3,0.5,agent_1-actionrotateto-box_3
326,agent_1-actionmoveto-box_3,0.6,agent_1-actionunlock-box_3,0.3,agent_1-actionpointto-box_3,0.1,agent_1-actionpointto-box_3
327,agent_1-actionpointto-box_3,0.6,agent_1-actionspeak-thank,0.3,agent_1-actionmoveto-box_3,0.1,agent_1-actionpointto-box_3
328,agent_1-actionpointto-box_3,0.7,agent_1-actionspeak-thank,0.2,agent_1-actionwait,0.1,"agent_1-actionrotateto-[322.0, -294.0]"
329,agent_1-actionwavehand-agent_2,0.5,agent_1-actionopen-box_3,0.3,agent_1-actionpointto-box_3,0.2,agent_1-actionrotateto-box_3
330,agent_1-actionpointto-box_3,0.6,agent_1-actionspeak-hello,0.3,agent_1-actionrotateto-box_3,0.1,agent_1-actionpointto-box_3
331,agent_1-actionpointto-banana_6,0.7,agent_1-actionwavehand-agent_2,0.2,agent_1-actionspeak-hello,0.1,agent_1-actionpointto-banana_6
332,agent_1-actionpointto-banana_6,0.6,agent_1-actionwavehand-agent_2,0.3,agent_1-actionspeak-hello,0.1,agent_1-actionpointto-banana_6
333,agent_1-actionpointto-banana_6,0.5,agent_1-actiongrab-banana_6,0.3,agent_1-actionspeak-thank_you,0.2,agent_1-actionmoveto-banana_6
334,agent_1-actiongrab-banana_6,0.5,agent_1-actionpointto-banana_6,0.3,agent_1-actionspeak-thank_you,0.2,agent_1-actionpointto-banana_6
335,agent_1-actiongrab-banana_6,0.75,agent_1-actionpointto-banana_6,0.15,agent_1-actionspeak-hello,0.1,agent_1-actionpointto-banana_6
336,agent_1-actionpointto-banana_6,0.5,agent_1-actiongrab-banana_6,0.3,agent_1-actionspeak-hello,0.2,agent_1-actionpointto-banana_6
337,agent_1-actiongrab-banana_6,0.65,agent_1-actionpointto-banana_6,0.25,agent_1-actionwait,0.1,agent_1-actionpointto-banana_6
338,agent_1-actiongiveto-banana_6-agent_2,0.85,agent_1-actionpointto-banana_6,0.1,agent_1-actionwait,0.05,agent_1-actiongrab-banana_6
339,agent_1-actiongrab-banana_6,0.65,agent_1-actionpointto-banana_6,0.25,agent_1-actionspeak-hello,0.1,agent_1-actionrotateto-agent_2
340,agent_1-actiongrab-banana_6,0.7,agent_1-actionpointto-banana_6,0.2,agent_1-actionnodhead-agent_2,0.1,agent_1-actionpointto-banana_6
341,agent_2-actionwavehand-agent_1,0.7,agent_2-actionnodhead-agent_1,0.6,agent_2-actionwait,0.4,agent_2-actionspeak-hello!
342,actionwavehand,0.5,actionnodhead,0.3,actionwait,0.2,agent_2-actionwait
343,agent_2-actionwavehand-agent_1,0.6,agent_2-actionnodhead-agent_1,0.3,agent_2-actionspeak-hello,0.1,agent_2-actionspeak-hello!
344,agent_2-actionwavehand-agent_1,0.6,agent_2-actionspeak-hello,0.3,agent_2-actionnodhead-agent_1,0.1,agent_2-actionwavehand
345,agent_2-actionnodhead-agent_1,0.6,agent_2-actionwavehand-agent_1,0.3,agent_2-actionwait,0.1,agent_2-actionrotateto-box_5
346,agent_2-actionnodhead-agent_1,0.5,agent_2-actionrotateto-agent_1,0.3,agent_2-actionwait,0.2,agent_2-actionnodhead
347,agent_2-actionnodhead-agent_1,0.6,agent_2-actionrotateto-agent_1,0.3,agent_2-actionwait,0.1,agent_2-actionshakehead
348,agent_2-actionspeak-hello,0.5,agent_2-actionwavehand-agent_1,0.3,agent_2-actionnodhead-agent_1,0.2,agent_2-actionperform-eat
349,agent_2-actionspeak-thank,0.5,agent_2-actionnodhead-agent_1,0.3,agent_2-actionwait,0.2,agent_2-actionspeak-thank you!
350,agent_2-actionmoveto-banana_3,0.5,agent_2-actionrotateto-banana_3,0.3,agent_2-actionwait,0.2,agent_2-actionperform-eat
351,agent_2-actionmoveto-banana_3,0.7,agent_2-actiongrab-banana_3,0.2,agent_2-actionwait,0.1,"agent_2-actionrotateto-[-210.00000000000006, 168.0]"
352,agent_1-actiongrab-banana_3,0.95,agent_1-actionmoveto-banana_3,0.03,agent_1-actionwait,0.02,agent_1-actionopen-box_4
353,agent_1-actiongrab-banana_3,0.95,agent_1-actionmoveto-banana_3,0.03,agent_1-actionwait,0.02,agent_1-actiongrab-banana_3
354,agent_1-actionspeak-hello,0.5,agent_1-actionmoveto-box_6,0.3,agent_1-actionwavehand-agent_2,0.2,agent_1-actionrotateto-box_4
355,agent_1-actionspeak-hello,0.5,agent_1-actionmoveto-key_5,0.3,agent_1-actionfollowpointing-agent_2,0.2,agent_1-actionrotateto-agent_2
356,agent_1-actionfollowpointing-agent_2,0.65,agent_1-actionmoveto-key_5,0.3,agent_1-actionspeak-thank_you,0.05,agent_1-actionperform-eat
357,agent_1-actionfollowpointing-agent_2,0.7,agent_1-actionspeak-hello,0.2,agent_1-actionmoveto-box_4,0.1,agent_1-actionshakehead
358,agent_1-actionfollowpointing-agent_2,0.6,agent_1-actionmoveto-key_5,0.3,agent_1-actionrotateto-key_5,0.1,agent_1-actionshakehead
359,agent_1-actionfollowpointing-agent_2,0.5,agent_1-actionspeak-thank,0.3,agent_1-actionwait,0.2,agent_1-actionshakehead
360,agent_1-actionfollowpointing-agent_2,0.5,agent_1-actionmoveto-box_4,0.3,agent_1-actionshakehead,0.2,agent_1-actionshakehead
361,agent_1-actionmoveto-key_5,0.5,agent_1-actionfollowpointing-agent_2,0.3,agent_1-actionspeak-hello,0.2,agent_1-actionwait
362,agent_1-actionfollowpointing-agent_2,0.45,agent_1-actionnodhead-agent_2,0.35,agent_1-actionwait,0.2,agent_1-actionrotateto-box_4
363,agent_1-actionwait,0.5,agent_1-actionspeak,0.3,agent_1-actionmovetoattention-agent_2,0.2,agent_1-actionmoveto-key_5
